ticket_id,match_status,shelter_code,shelter_type,district_shelter,road,shelter_location,distance_m,nearest_2nd,distance_2nd_m,work_type,report_count,description,district_case,case_address,case_lat,case_long,shelter_lat,shelter_long,match_code,match_tor,match_district,match_dist_m
TAHVCU,no_match_nearest_480.0m,NS203,Type B2,สายไหม,พหลโยธิน,ใกล้สี่แยก คปอ. ( มุงหน้าไปสะพานใหม่),480,NS204,507.2,ไฟ/แสงสว่าง,1,ปัญหา: บริเวณที่พักผู้โดยสารภายปากซอยดังกล่าวพบ ดวงไฟส่องสว่างทางดับ 1 ดวง ส่งผลให้บริเวณดังกล่าวมืด ซอย: พหลโยธิน 54/2 ถนน: พหลโยธิน จุดสังเกต: บริเวณป้ายที่พั,สายไหม,BTS แยก คปอ. (ทางออก 4) แขวงสายไหม เขตสายไหม 10220,13.92609,100.62657,13.922252,100.624534,,,,480.0
LFUEJA,no_match_nearest_594.0m,MS120,Type A,พญาไท,พระราม 6,หน้าโรงสูบน้ำที่ 7,594,MS016,604.5,ไฟ/แสงสว่าง,1,ปัญหา: เดิมแจ้งเรื่อง บริเวณถนนดังกล่าว หน้าวิทยาลัยพยาบาลกองทัพบก  พบดวงไฟฟ้าส่องสว่างป้ายรอรถโดยสารประจำทางชำรุด จำนวน 1 ป้าย ทำให้บริเวณดังกล่าวมืดมากและเคยม,ราชเทวี,ป้ายรถประจำทาง แยกตึกชัย 1 แขวงทุ่งพญาไท เขตราชเทวี 10400,13.76847,100.53062,13.773811,100.530731,,,,594.0
2025-8GP3JR,no_match_nearest_599.6m,NS022,Type B2,จตุจักร,งามวงศ์วาน,หน้าเรือนจำคลองเปรม (1),599.6,NS023,644.5,ไฟ/แสงสว่าง,1,ไฟส่องสว่างบริเวณป้าย หยุดรถประจำทางตรงข้ามสถานีบางเขน ไม่ติดตรงนี้มืดมาก อันตรายและไม่ปลอดภัย,จตุจักร,ตรงข้ามสถานีบางเขน แขวงลาดยาว เขตจตุจักร 10900,13.8492,100.56285,13.850077,100.55737,,,,599.6
9LT2G6,no_match_nearest_651.7m,SS228,Type B2,บางคอแหลม,เจริญกรุง,บริเวณ ซ.เจริญกรุง89,657.5,SS162,1500.7,หลังคา/กันแดดฝน,1,ปัญหา: ขอให้ที่พักผู้โดยสารมีการติดตั้งหลังคากันแดด กันฝน เพื่ออำนวยความสะดวกต่อผู้มาใช้บริการ  อ้างอิงเลขที่รับแจ้ง 6FAK2V เจ้าหน้าที่ตอบกลับมาเมื่อวันที่ 9 ม.,บางคอแหลม,บ้านใหม่ แขวงวัดพระยาไกร เขตบางคอแหลม 10120,13.7091,100.51012,13.705016,100.5057187,,,,651.7
CBTULN,no_match_nearest_759.8m,SS001,Type B2,ปทุมวัน,อังรีดูนังค์,หน้าประตู 2 ราชกรีฑาสโมสร (เลยสะพานลอบ 40 เมตร),759.8,SS002,1347.6,ที่นั่ง/ม้านั่ง,1,ปัญหา: บริเวณป้ายรอรถโดยสารประจำทาง พบภายในที่พักผู้โดยสาร ไม่มีเก้าอี้สำหรับผู้โดยสารนั่งรอรถโดยสารประจำทาง ซึ่งสร้างความไม่สะดวกแก่ประชาชนที่มาใช้บริการเป็นอย,ปทุมวัน,สยาม ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน 10330,13.74565,100.53434,13.738839,100.534904,,,,759.8
2025-8ZNX99,no_match_nearest_817.3m,SS001,Type B2,ปทุมวัน,อังรีดูนังค์,หน้าประตู 2 ราชกรีฑาสโมสร (เลยสะพานลอบ 40 เมตร),817.3,SS002,1427.5,ไฟ/แสงสว่าง,1,ขอร้องเรียนเรื่องป้ายรถเมล์ (รถโดยสารประจำทางของ ป้ายสยามสแควร์และสยามเซ็นเตอร์ครับ ในมุมมองของผู้ใช้งานรู้สึกว่า ไม่สะดวกอย่างยิ่ง เพราะมีปัญหาหลายอย่าง ได้แก่,ปทุมวัน,979 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน 10330,13.74597,100.53307,13.738839,100.534904,,,,817.3
"2025-BGJ8JW, 2025-NEACP4, 2025-HAGY2M",no_match_nearest_1187.8m,MS120,Type A,พญาไท,พระราม 6,หน้าโรงสูบน้ำที่ 7,1187.8,MS122,1384,ที่นั่ง/ม้านั่ง,3,ป้ายโฆษณาชำรุด ณ ป้ายรถเมล์อนุสาวรีย์ชัยสมรภูมิ เกาะพหลโยธิน ป้ายกลาง2 ด้านนอก ป้ายจะหลุดใส่ผดส.ที่นั่งรอได้,ราชเทวี,"SD34, 12 ถ. ราชวิถี แขวงทุ่งพญาไท เขตราชเทวี 10400",13.76589,100.53811,13.773811,100.530731,,,,1187.8
"2025-F6XAKD, 2025-UJHZJN",no_match_nearest_1199.1m,MS120,Type A,พญาไท,พระราม 6,หน้าโรงสูบน้ำที่ 7,1199.1,MS122,1399.2,ไฟ/แสงสว่าง,2,ป้ายรถเมล์อนุสาวรีย์ชัยสมรภูมิพหลโยธิน ไม่มีไฟส่องสว่างที่ป้ายตั้งแต่เริ่มรื้อจะทำสะพานลอยครับ,ราชเทวี,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน) แขวงทุ่งพญาไท เขตราชเทวี 10400,13.76571,100.53806,13.773811,100.530731,,,,1199.1
2025-DU2J3U,no_match_nearest_1222.3m,MS120,Type A,พญาไท,พระราม 6,หน้าโรงสูบน้ำที่ 7,1222.3,MS122,1412.2,ไฟ/แสงสว่าง,1,ป้ายรถเมล์อนุสาวรีย์ เกาะพหลโยธิน ไฟดับมานานมากแล้วค่ะ เรามาขึ้นรถที่ป้ายทุกวัน เท่าที่เราสังเกต คิดว่าดับมาตั้งแต่ 29 ก.ค. แล้วค่ะ  จนวันนี้ (1 ก.ย. 68) ยังไม่,ราชเทวี,SD34 12 ถ. ราชวิถี แขวงทุ่งพญาไท เขตราชเทวี 10400,13.76579,100.53847,13.773811,100.530731,,,,1222.3
6GYCYK,no_match_nearest_1265.4m,ES505,หลังเล็ก,สะพานสูง,ถนนราษฎร์พัฒนา,ปากซอยถนนราษฎร์พัฒนา 31,1265.4,ES506,1335,ไฟ/แสงสว่าง,1,ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02680039400  ขอให้ติดตั้งไฟฟ,สะพานสูง,สำนักงานเขตสะพานสูง ซอย รามคำแหง 118 แขวงสะพานสูง สะพานสูง : QM9P+J74 5 ซ. รามคำแหง 118 แขวงสะพานสูง สะพานสูง 10240,13.76891,100.6857,13.768182,100.697393,,,,1265.4
"2025-MAEK96, 2025-EZ8G76",no_match_nearest_1293.7m,MS126,Type A,ราชเทวี,นิคมมักกะสัน,หน้าการนิคมแห่งประเทศไทย,1293.7,MS125,1308.8,หลังคา/กันแดดฝน,2,ขอเสนอการปรับปรุงพื้นที่อนุสาวรีย์ชัยฯ เพิ่มว่า อยากให้ปรับปรุงป้ายรถเมล์ให้เป็นป้ายอัจฉริยะ มีจอบอกเวลารถเมล์ถึงป้าย โดยอาจเชื่อมกับระบบ viabus ตลอดจนปรับปรุงท,ราชเทวี,อนุสาวรีย์ชัยสมรภูมิ เขตราชเทวี 10400,13.76467,100.5387,13.754413,100.544354,,,,1293.7
"2025-8Y9K6K, 2025-B4624F",no_match_nearest_1310.7m,NS009,Type B2,จตุจักร,พหลโยธิน,หน้าร้านเกียรติประสาสน์ (ไกล้พหลโยธิน 18),1310.7,MS130,1417,ไฟ/แสงสว่าง,2,ขออนุญาตแจ้งเป็นข้อมูลนะคะ รบกวนช่วยมาตรวจสอบบริเวณป้ายรถเมล์แยกสุทธิสาร วิภาวดี (ขาออก) ค่ะ ป้ายรถเมล์มืดมากค่ะ ไฟไม่ติดมาหลายเดือนแล้ว เวลากลางคืนพนักงานขับรถ,พญาไท,แยกสุทธิสาร (ฝั่งวิภาวดี ขาออก) แขวงสามเสนใน เขตพญาไท 10400,13.79067,100.56123,13.797043,100.55102,,,,1310.7
